side,source_label,relative_path,feature_set,feature_name,policy_or_status,source_feature_column
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_time(min)_w2,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_time(min)_w3,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_session_w1,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_session_w2,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_session_w3,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,retention_w2_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,retention_w3_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,diff_between_w2_w1,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,diff_between_w3_w1,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,diff_between_w3_w2,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_w1_over_50pct,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_w2_over_50pct,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_w3_over_50pct,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_only_w1,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_only_w2,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,is_only_w3,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,new_movie_in_90d_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,new_movie_in_180d_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,new_movie_in_365d_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,old_movie_ratio(5y),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_ott_release_year,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,genre_diversity_count,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,action_adventure_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,family_animation_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,drama_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,thriller_crime_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,sf_fantasy_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,comedy_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,romance_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,horror_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,documentary_ratio,,original_feature_name
