trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf
92,0.8713478817420967,0.8797017285924701,0.896409422293217,0.016707693700746873,False,1076,3,0.01285187767759203,70.54583491873338,1.3979012647676898,0.28787209678977865,71,45
68,0.8713235940908006,0.8804519597026129,0.8987086909262374,0.01825673122362448,False,937,3,0.015564029287794351,79.96081789268548,1.0630134559994038,0.3392108702129235,64,55
55,0.8713081921498191,0.8798530847321795,0.8969428698969002,0.017089785164720706,False,824,3,0.016814116959087466,26.602673262317623,1.818308633719502,0.2738841574758586,45,41
27,0.8712747654651767,0.8806754810942732,0.8994769123524662,0.018801431258193002,False,941,3,0.017600832854522182,70.74449407736068,2.097270971247288,0.9732125340990764,59,81
54,0.8712665801291561,0.8801722597020639,0.8979836188478794,0.017811359145815442,False,968,3,0.01703858559242828,35.66194712023877,4.193203218808155,0.2530125147282035,45,39
97,0.8712552385106485,0.880472886841482,0.8989081835031488,0.018435296661666878,False,1189,3,0.012699820368195594,81.57805995170473,1.1986440507624363,0.3521446772117656,70,43
28,0.8711754372550465,0.8811426150825202,0.9010769707374676,0.01993435565494739,False,797,3,0.021006797279514332,76.62378314300707,1.3183318730802298,0.9909776637868204,36,82
49,0.8711050275262398,0.881295165869035,0.9016754425546255,0.020380276685590504,False,824,3,0.019129257288276233,46.1485912562743,1.129768898115277,0.1971480173088952,55,59
94,0.8710802879184465,0.8808457625827046,0.9003767119112208,0.01953094932851618,False,1097,3,0.014631535541070622,77.43512475327923,1.3074294046380153,0.32635214793410244,75,49
37,0.8710741805915079,0.8789769488930859,0.894782485496242,0.01580553660315609,False,678,3,0.020212345555741237,58.012761373520085,1.8020200365422694,0.7781468348827122,33,51
66,0.8710471309185908,0.8805530996413962,0.8995650370870069,0.019011937445610694,False,835,3,0.021058760634725646,61.71644172693261,2.3429990274596935,0.23246083800229952,36,33
21,0.8710233695954934,0.8803074012740918,0.8988754646312886,0.01856806335719685,False,922,3,0.018468709434538436,43.479271342097,4.565774159062444,0.7882937674472152,76,78
38,0.8710039891481395,0.8804873089659926,0.8994539486016988,0.018966639635706217,False,680,3,0.027262338076336632,59.833119242582605,5.609182375162022,0.0026679612772813055,33,47
91,0.870988361345522,0.8780106101875385,0.8920551078715713,0.01404449768403282,False,998,3,0.011288771774960848,76.35617072921829,1.078364191844451,0.3415177266185577,65,51
96,0.8709582658057331,0.8784381634862942,0.8933979588474166,0.014959795361122352,False,1133,3,0.010764387555602734,96.32100562497786,1.0727317363665059,0.29270372839939135,65,47
90,0.8708980865840235,0.8811021480077024,0.9015102708550602,0.020408122847357824,False,1169,3,0.012192693071030165,13.377600253666639,1.153276770230539,0.3989087291246812,63,50
76,0.8708957705829506,0.8779161311018335,0.8919568521395993,0.014040721037765769,False,1122,3,0.010022309037268137,92.35263424295675,1.0092405647308318,0.42372384419458914,73,54
61,0.8708755907104717,0.8808264837940089,0.900728269961083,0.019901786167074165,False,785,3,0.019556837547128156,17.573014282919885,1.8109916418864793,0.26283395782237384,36,52
44,0.8708540315599942,0.8804767936970231,0.8997223179710812,0.019245524274058012,False,862,3,0.022900340812503972,80.20497589147483,8.081041082378064,0.317820940294554,48,37
51,0.870842408486788,0.8814253958146587,0.9025913704704003,0.02116597465574155,False,890,3,0.01904292388608022,40.83770994059881,1.5351487752177158,0.07940827879514012,32,45
52,0.8708269624173937,0.8819899380382978,0.9043158892801063,0.022325951241808473,False,844,3,0.020416110320720667,43.80491828918095,1.1641938540313077,0.20579211930265223,38,75
78,0.8707953888061932,0.8777710067769553,0.8917222427184793,0.013951235941524032,False,1051,3,0.01099854683167704,96.98645881068153,1.0746170306373903,0.5185086544020849,67,64
33,0.8707049880152009,0.8773849263399525,0.8907448029894557,0.013359876649503222,False,807,3,0.01446709052119048,85.6925583999657,1.3410072738016585,0.8879588314072204,42,68
59,0.8706803762659987,0.8822195367812297,0.9052978578116917,0.023078321030462035,False,909,3,0.02188951819371851,32.82062393167509,1.5976593965877135,0.3772518811905814,51,46
80,0.8706753466867918,0.8814858091605495,0.9031067341080649,0.02162092494751533,False,1056,4,0.01252586795451084,89.85954515098886,1.2544481761928756,0.3668128926767609,68,53
32,0.8706665800423872,0.877342397266147,0.8906940317136669,0.013351634447519856,False,816,3,0.014466838392171388,88.05846801584508,1.3612066454376985,0.8715858222237364,42,65
11,0.8706454539194795,0.8814177651037193,0.9029623874721988,0.021544622368479538,False,936,3,0.017881938631536254,49.791578933187694,1.2397855016258958,0.991817943969044,83,79
13,0.8705848594026082,0.8804310059891589,0.9001232991622603,0.019692293173101394,False,987,3,0.017603405519199637,44.13615905220425,3.813828292994262,0.6972126433588367,77,77
56,0.870582896460868,0.8802947796422286,0.8997185460049497,0.01942376636272114,False,972,3,0.01687080655661804,27.00578370349547,2.8995417907565377,0.2786740764722445,47,40
42,0.8704321567843418,0.8793795611809182,0.897274369974071,0.01789480879315275,False,626,3,0.02814128593362057,58.51430963754703,6.309752717887993,0.14777273710458866,32,41
65,0.8704084770508991,0.881453140967951,0.9035424688020548,0.022089327834103778,False,1013,3,0.01712903016808805,46.24002955220009,1.3655336646129144,0.3072867021904909,55,63
12,0.8702749723882082,0.879995346615312,0.8994360950695196,0.019440748454207624,False,921,3,0.018943715342865645,44.24420956359662,4.237490336101839,0.7712176208336756,78,79
89,0.8701218953429143,0.8764382018460022,0.889070814852178,0.012632613006175797,False,1089,3,0.010521506640339335,85.54455401952892,1.6425458735980967,0.3714295495195434,58,47
30,0.8700975175649597,0.8823550005239398,0.9068699664419,0.024514965917960208,False,794,3,0.034451965569906935,73.51895745958235,1.3276386503196413,0.7946449257444363,35,83
29,0.8700790426694358,0.8809560966823723,0.9027102047082453,0.021754108025872965,False,666,4,0.022312259375651,95.62585813302691,1.9988046187501542,0.921869002319395,37,92
53,0.8700676523351019,0.8764443767103488,0.8891978254608427,0.01275344875049389,False,706,3,0.015549654591145021,69.11132689004067,1.4985487874672834,0.1106135731924671,52,52
64,0.8700108790852231,0.8816340441812949,0.9048803743734384,0.023246330192143505,False,880,3,0.026125956796225935,50.430793695261386,1.215312722261727,0.03368403827437347,46,43
14,0.8700095747011198,0.8815361393325908,0.9045892685955328,0.023053129262942007,False,1034,3,0.016528858223413285,24.577387311944676,1.0401499317227603,0.483890595996898,76,73
98,0.8699827509094815,0.8763460524319056,0.8890726554767537,0.012726603044848184,False,964,3,0.01136516522954271,72.5520467687714,1.4914745785726817,0.4030932505696744,53,55
63,0.869963235206561,0.8814667821207378,0.9044738759490913,0.02300709382835353,False,763,3,0.024117451915129505,34.61412888278794,1.8578760307177873,0.4354592174078439,41,39
31,0.8699516727894883,0.8815954261147774,0.9048829327653556,0.023287506650578216,False,945,3,0.01999738280799308,70.51904252090651,1.0164572738371238,0.9930664014208044,57,85
19,0.8699331033251998,0.8814259501405097,0.9044116437711296,0.022985693630619863,False,944,3,0.02138258096599325,76.5819041363272,1.7504669135414606,0.3491039673293,121,86
20,0.8698232676762574,0.8769265166314663,0.8911330145418841,0.014206497910417837,False,1086,3,0.014156728814862496,47.13534657078381,9.76611695084148,0.8273857626745267,83,71
46,0.8697352752912602,0.8783622801598703,0.8956162898970904,0.017254009737220133,False,770,3,0.02361332309714783,56.4262563314199,15.177201849044966,0.9525621423430245,39,50
6,0.8697351991257831,0.8829146581073817,0.9092735760705788,0.026358917963197115,False,792,3,0.04761135828626516,59.584434696725225,16.684619386293466,0.8948273504276488,89,94
15,0.8697316807814389,0.8827536683717112,0.9087976435522558,0.026043975180544576,False,985,3,0.02570746666804379,30.42051650971247,1.6762168266775541,0.659028604808974,87,79
25,0.8697042416917966,0.8822196625506018,0.9072505042682121,0.025030841717610275,False,1200,3,0.030237278440404528,54.30083278017826,3.376781725461496,0.8594710266870949,52,21
24,0.8696260928648764,0.8820374184602414,0.9068600696509715,0.024822651190730127,False,1012,3,0.02248480880542405,24.665269945308882,5.11042072132548,0.5775914665386952,94,89
18,0.8694796119727939,0.8810291209567437,0.9041281389246434,0.023099017967899704,False,848,4,0.01596954179369915,32.17301519951217,2.667319732421494,0.5958691899125564,101,68
43,0.8694354007923918,0.8823923882685953,0.9083063632210024,0.025913974952407104,False,680,3,0.03476405314039161,65.06334514760958,1.7549446755550824,0.22386146664912543,39,50
50,0.869404403894704,0.881288783085407,0.9050575414668132,0.02376875838140613,False,646,3,0.028661818835210934,59.69067235824639,1.1481677724177797,0.20490417391196353,56,59
58,0.869092108953075,0.8751329588404488,0.8872146586151965,0.012081699774747712,False,819,3,0.013101819645273452,20.246029755077316,2.2336707383112673,0.26335374440980225,59,28
17,0.8689496219754858,0.8825003010958417,0.9096016593365533,0.027101358240711693,False,1047,3,0.024727466041510045,15.24168573818877,7.1608693885880275,0.7269647517880444,49,83
16,0.8682186007181414,0.8823933099698908,0.9107427284733897,0.028349418503498813,False,1144,4,0.015940718118172287,40.96152670586557,3.8638298277396403,0.4478044844360136,71,68
23,0.8676040000902456,0.8823188331598175,0.9117484992989612,0.029429666139143662,False,753,4,0.025198910439624658,48.57875041068992,3.2370354740284966,0.8194019662012356,82,61
60,0.8674469204703403,0.8759754716856959,0.893032574116407,0.017057102430711124,False,972,4,0.01155295849271431,22.62605817464016,3.834418257709907,0.11198715944263682,39,27
