trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,learning_rate,max_depth,min_samples_leaf,min_samples_split,subsample,max_features
63,0.8659016482995265,0.8757567858054738,0.8954670608173683,0.019710275011894485,False,241,0.02898553198807252,3,260,173,0.8208664296347667,
68,0.8658351299926146,0.8762437648817405,0.8970610346599923,0.020817269778251823,False,186,0.03973745158994968,3,269,121,0.8888965566765907,
33,0.865805695692418,0.8771576099266525,0.8998614383951213,0.022703828468468856,False,235,0.03320696166750437,3,104,323,0.605273211402025,
14,0.8657190351997955,0.8786822816127936,0.9046087744387897,0.025926492825996128,False,185,0.04936140536977778,3,143,169,0.7220648662649468,
29,0.8657097483485665,0.8764778520200217,0.8980140593629322,0.021536207342910507,False,170,0.04393140873363994,3,163,281,0.653346421015977,
38,0.8656894218336499,0.8739360313272876,0.8904292503145628,0.016493218987275182,False,116,0.04595048640060068,3,97,391,0.6343381335738824,
80,0.8656783979128757,0.8760732939728682,0.8968630860928529,0.020789792119984773,False,164,0.044787118276838206,3,233,163,0.7651812946666202,
67,0.8656392156399249,0.8747977561219521,0.8931148370860065,0.018317080964054377,False,180,0.03642299946023732,3,298,146,0.8411907520769423,
72,0.86552911963877,0.8764112377432358,0.8981754739521675,0.021764236208931642,False,235,0.032472228507907326,3,224,188,0.81228502246143,
70,0.8654646127139085,0.8748814725254228,0.8937151921484515,0.01883371962302871,False,244,0.027764648554886983,3,282,238,0.7910580705998935,
48,0.8654057967727133,0.8749359413490858,0.8939962305018309,0.019060289152745047,False,193,0.03711259433975473,3,300,462,0.739334664679581,
15,0.8652997588562039,0.875357604273244,0.8954732951073243,0.02011569083408027,False,130,0.04896557183380364,3,110,308,0.7102136661660048,
31,0.8652994957107802,0.8788140310298111,0.905843101667873,0.027029070638061814,False,241,0.0436674697227196,3,126,354,0.6826186080927885,
18,0.8651846831377392,0.8728349230935961,0.8881354030053098,0.015300479911713682,False,246,0.03864963572138663,2,148,429,0.6978312384395814,
71,0.8651846177810847,0.876496722967096,0.8991209333391188,0.02262421037202278,False,229,0.034048074591674304,3,240,103,0.8734858787677454,
28,0.8651790266140573,0.8738250453361595,0.8911170827803637,0.017292037444204267,False,215,0.04995282502623234,2,62,434,0.7582621013740467,
56,0.865114923705474,0.874768161680074,0.894074637629274,0.019306475949199986,False,211,0.03289430589970436,3,265,261,0.7209858177876901,
25,0.86507383867348,0.8744243434851124,0.8931253531083773,0.01870100962326482,False,166,0.035030938486738855,3,104,381,0.6965034961031898,
96,0.8650155630351171,0.8750051305209959,0.8949842654927537,0.01997913497175774,False,169,0.040403729896059254,3,210,128,0.7455436966799202,
75,0.8650074289175328,0.8758772153327492,0.897616788163182,0.02173957283043282,False,218,0.03371332967922493,3,216,213,0.8321667483030026,
