window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_4,usage_w1_4_only,usage_only,ExtraTreesClassifier,required_sklearn,N,0.8487112244106916,0.9256213956070412,0.6849201214605734,0.7692431899257028,0.6178504085480829,0.7169948942377826,0.6637407157326131,19156.0,4777.0,32.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,ExtraTreesClassifier,required_sklearn,Y,0.8482392380032148,0.9239951001527089,0.6763311167821601,0.7668877550364848,0.6334661354581673,0.6958424507658644,0.6631908237747653,19156.0,4777.0,118.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,ExtraTreesClassifier,required_sklearn,N,0.8476042835122126,0.9261497409710087,0.6737654165038763,0.7650023792055295,0.6361185983827493,0.6885485047410649,0.6612959719789843,19156.0,4777.0,117.0
w1_4,usage_w1_4_only,usage_only,XGBClassifier,optional_booster,N,0.8467367622160747,0.9235887454810091,0.6736873269509939,0.7144066783935159,0.7169230769230769,0.5098468271334792,0.5959079283887468,19156.0,4777.0,32.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,LogisticRegression,required_sklearn,Y,0.8417317575326161,0.9279420129210811,0.655339676464312,0.7641020929727562,0.5498981670061099,0.787746170678337,0.6476761619190404,19156.0,4777.0,167.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,LogisticRegression,required_sklearn,N,0.841532812263766,0.9278655973766161,0.65516830890339,0.7622029044724352,0.5481406011207336,0.7848285922684172,0.6454709058188363,19156.0,4777.0,166.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,LogisticRegression,required_sklearn,N,0.8268128967930194,0.9145667359882441,0.6501569789486451,0.7479730710767842,0.5529347229840922,0.7352297592997812,0.6311834690043833,19156.0,4777.0,117.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,LogisticRegression,required_sklearn,Y,0.8268122543432813,0.9146058021090665,0.6501465971290901,0.7488492654443846,0.5537280701754386,0.7366885485047411,0.6322378716744914,19156.0,4777.0,118.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,Y,0.8240664241633056,0.9162140263186189,0.6289201802198912,0.6894855176838574,0.6646279306829765,0.47556528081692195,0.5544217687074829,19156.0,4777.0,113.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,HistGradientBoostingClassifier,required_sklearn,N,0.8240664241633056,0.9162140263186189,0.6289201802198912,0.6894855176838574,0.6646279306829765,0.47556528081692195,0.5544217687074829,19156.0,4777.0,112.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,N,0.8232202107834761,0.9157941791562916,0.6246271223853862,0.6918297097026614,0.6728395061728395,0.47702407002188185,0.558258642765685,19156.0,4777.0,112.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,LGBMClassifier,optional_booster,Y,0.8232202107834761,0.9157941791562916,0.6246271223853862,0.6918297097026614,0.6728395061728395,0.47702407002188185,0.558258642765685,19156.0,4777.0,113.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,XGBClassifier,optional_booster,Y,0.8206669013749709,0.9158210458361145,0.620977542868437,0.6814141004011884,0.6720955483170467,0.45149525893508385,0.5401396160558464,19156.0,4777.0,113.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,XGBClassifier,optional_booster,N,0.8201173926991155,0.914631588279026,0.6230668636158977,0.6814233088474323,0.6780595369349504,0.4485776805251641,0.5399473222124671,19156.0,4777.0,112.0
w1_4,usage_w1_4_only,usage_only,LogisticRegression,required_sklearn,N,0.8179496602083336,0.9083168986941177,0.6347112821304022,0.7440575540739237,0.5397245762711864,0.7432530999270606,0.6253451979134704,19156.0,4777.0,32.0
w1_3,usage_w1_3_only,usage_only,LGBMClassifier,optional_booster,N,0.813669445904233,0.9094552707831076,0.6167851427838504,0.683721458635017,0.6580578512396694,0.4646243617797228,0.5446772124839675,19156.0,4777.0,27.0
w1_3,usage_w1_3_only,usage_only,ExtraTreesClassifier,required_sklearn,N,0.8134347375999705,0.9094544937479638,0.6191952000147174,0.7309468681217726,0.5345394736842105,0.7111597374179431,0.6103286384976526,19156.0,4777.0,27.0
w1_3,usage_w1_3_only,usage_only,HistGradientBoostingClassifier,required_sklearn,N,0.8124480418774438,0.9095011761402136,0.6155718490368185,0.6853316518282192,0.6628630705394191,0.4660831509846827,0.5473233404710921,19156.0,4777.0,27.0
w1_3,usage_w1_3_only,usage_only,XGBClassifier,optional_booster,N,0.812180247411677,0.9101738470330679,0.6091290570727792,0.6799507069731066,0.6677489177489178,0.450036469730124,0.5376906318082789,19156.0,4777.0,27.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,ExtraTreesClassifier,required_sklearn,Y,0.8106900852445142,0.9087284848156945,0.6142926016481476,0.7284998841448973,0.5567632850241546,0.6725018234865062,0.6091840105715229,19156.0,4777.0,113.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,ExtraTreesClassifier,required_sklearn,N,0.8106851597965233,0.9079801727551075,0.6170250722573827,0.7309862717056999,0.5601935874168179,0.675419401896426,0.6124338624338624,19156.0,4777.0,112.0
w1_4,content_w1_4_only,content_only,ExtraTreesClassifier,required_sklearn,N,0.8023637224908378,0.898790580541827,0.6341910634149747,0.7285893988083842,0.5610055180870631,0.6673960612691466,0.6095936042638241,19156.0,4777.0,54.0
w1_4,content_w1_4_only,content_only,HistGradientBoostingClassifier,required_sklearn,N,0.7959458637586823,0.8939682677131058,0.6355500403002172,0.6753932756070828,0.6885245901639344,0.4288840262582057,0.5285393258426966,19156.0,4777.0,54.0
w1_4,content_w1_4_only,content_only,LGBMClassifier,optional_booster,N,0.7955730287607616,0.8940508858364606,0.633191339420718,0.6768474605889208,0.6867052023121387,0.43326039387308535,0.5313059033989267,19156.0,4777.0,54.0
