trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,learning_rate,max_depth,min_samples_leaf,min_samples_split,subsample,max_features
53,0.8430113329472524,0.8509593998481148,0.8668555336498395,0.01589613380172472,False,244,0.042994845901616244,2,139,375,0.6360207426026755,
32,0.8429848479944024,0.8507065536118692,0.8661499648468028,0.015443411234933646,False,242,0.04261914099432506,2,196,160,0.7760988478571111,
20,0.8429375055541067,0.8563624503406633,0.8832123399137763,0.026849889573113073,False,180,0.04979029544024304,3,93,213,0.6001095128875419,
67,0.8427162580422198,0.8548183051957116,0.8790223995026951,0.02420409430698356,False,211,0.03555960486907575,3,76,506,0.8525992595018907,
78,0.8425665515272227,0.8531451910221042,0.8743024700118671,0.02115727898976294,False,220,0.030674263040202772,3,76,566,0.727491611262532,
28,0.8424199427977459,0.8503945559720375,0.8663437823206206,0.01594922634858309,False,247,0.04137472635304082,2,149,136,0.6369298286733147,
21,0.8421152780850107,0.8558945215585979,0.8834530085057721,0.02755848694717422,False,177,0.04959702087706192,3,72,210,0.6036767753380552,
35,0.8419213179497147,0.8494937298405489,0.8646385536222174,0.015144823781668482,False,213,0.04502660005761004,2,168,242,0.7438931994518346,
55,0.8418369166008459,0.8505336771919672,0.8679271983742097,0.017393521182242577,False,227,0.047134661356914596,2,129,320,0.7459453987514831,
41,0.8417288275700144,0.8491774972641901,0.8640748366525415,0.01489733938835136,False,216,0.04580236273760514,2,219,431,0.6237567912440328,
44,0.8416670480249964,0.8495630725320235,0.8653551215460776,0.015792049014054177,False,250,0.03853388706499894,2,118,163,0.6427754680268948,
43,0.8416542759406093,0.8498529836429567,0.8662503990476516,0.01639741540469486,False,227,0.044276462253988215,2,135,246,0.6518108520374175,
0,0.8414991090118336,0.8505285488083197,0.8685874284012922,0.018058879592972477,False,125,0.046187109390049115,3,200,178,0.6467983561008608,
22,0.8414442644977796,0.8531764201939469,0.8766407315862814,0.023464311392334514,False,185,0.0367281348227298,3,83,221,0.6060808533500386,
99,0.8413525281794201,0.8521231431402784,0.873664373061995,0.021541229921716587,False,242,0.03687905423710722,3,79,450,0.7454834750096788,sqrt
19,0.8412874671443676,0.8509015509816862,0.8701297186563233,0.019228167674637087,False,141,0.04301373477572257,3,222,259,0.730829950071684,
15,0.841096215819551,0.8520908230025069,0.8740800373684188,0.021989214365911836,False,130,0.04896557183380364,3,110,308,0.7102136661660048,
65,0.8410303168337163,0.85152024851198,0.8725001118685076,0.020979863356527573,False,120,0.049882328186880834,3,107,437,0.8117850635897587,
46,0.8405626613107475,0.847617930949885,0.8617284702281601,0.014110539278275103,False,222,0.041314497358752866,2,281,227,0.7079994084597889,
68,0.8405011055402887,0.8502037358265884,0.8696089963991878,0.019405260572599392,False,231,0.033431000608171876,3,116,596,0.8847135904147985,sqrt
33,0.8400944638077048,0.8478525211432528,0.8633686358143489,0.015516114671096037,False,235,0.0385667519177091,2,160,122,0.8199395274072491,
64,0.8400857385071132,0.8501909659469942,0.8704014208267561,0.02021045487976192,False,128,0.043672111909269354,3,96,465,0.7938135691637644,
58,0.8399707645013553,0.8505597799595834,0.8717378108760396,0.021178030916456203,False,145,0.03963558238893954,3,105,417,0.8026864341604227,
24,0.839439190181881,0.8471753229572722,0.8626475885080545,0.015472265550782294,False,214,0.04049659300702654,2,102,313,0.7896777943895494,
45,0.8389317915004371,0.8460675309937716,0.8603390099804408,0.01427147898666914,False,237,0.04665240412068531,2,155,188,0.6738204844056626,sqrt
79,0.8385582482373322,0.8484821260931941,0.8683298818049178,0.019847755711723702,False,210,0.024662626842806408,3,66,485,0.7421599988614797,
34,0.8384627792558607,0.84592127504121,0.8608382666119085,0.01491699157069859,False,250,0.03256568592175123,2,135,180,0.7699952351150632,
