trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
27,0.8603126790676388,0.8682903117063973,0.007977632638758503,False,l1,0.4935936753852913
150,0.8603119969578824,0.8682339210872645,0.007921924129382085,False,l1,0.4040893536073509
126,0.8603119913521733,0.8682730867571717,0.007961095404998453,False,l1,0.4556846372503628
96,0.8603116488958676,0.8683012549993976,0.007989606103529945,False,l1,0.5225792049359488
91,0.8603116472141549,0.868240029694328,0.007928382480173135,False,l1,0.4093818495102158
95,0.8603109583775472,0.868229237128783,0.007918278751235741,False,l1,0.40080640003634965
47,0.8603106119972453,0.868271317050479,0.007960705053233652,False,l1,0.45174730939860486
145,0.8603106063915359,0.8682896209870276,0.007979014595491662,False,l1,0.49161912387421985
166,0.860310267298656,0.8682225023898404,0.007912235091184439,False,l1,0.3952886595702634
181,0.8603102639352306,0.8683046664178742,0.007994402482643603,False,l1,0.5414895758921517
163,0.8603102639352305,0.8683030473861889,0.00799278345095844,False,l1,0.5386175570249452
66,0.8603102639352305,0.8682938519502044,0.007983588014973897,False,l1,0.503049594121241
86,0.8603099175549284,0.8683029394577362,0.007993021902807818,False,l1,0.5382848587352835
130,0.8603095762197647,0.8682964423816699,0.007986866161905248,False,l1,0.5100088996684321
172,0.8603095756591939,0.8682440659597157,0.007934490300521846,False,l1,0.4142857011306584
81,0.8603095750986229,0.8682666545657997,0.00795707946717672,False,l1,0.44728281622450483
141,0.8603088840197316,0.8682953846408756,0.007986500621144033,False,l1,0.5091385393670904
192,0.8603088834591606,0.8682432024709053,0.007934319011744684,False,l1,0.41477951747969855
171,0.860308534276004,0.8682895129711621,0.007980978695158125,False,l1,0.4919612288390473
161,0.860307850484535,0.8682981257648313,0.007990275280296388,False,l1,0.5121177405890152
122,0.8603074984985236,0.8683180062749724,0.008010507776448739,False,l1,0.5728731345149678
123,0.8603074968168108,0.8682445621910869,0.007937065374276076,False,l1,0.41873777162960757
118,0.8603071476336541,0.8681715830500742,0.007864435416420124,False,l1,0.34901797851986294
33,0.8603064615999013,0.868333072768781,0.008026611168879705,False,l1,0.6254856296605483
160,0.8603057783690031,0.8682651649101454,0.007959386541142255,False,l1,0.4461914727533455
11,0.8603047431520935,0.8682564771023996,0.007951733950306128,False,l1,0.4338083763531628
159,0.8603043917266531,0.8683348633810931,0.008030471654440041,False,l1,0.6461392856421029
138,0.8603043894843694,0.8683165815739425,0.008012192089573156,False,l1,0.5694145047090645
134,0.8603040531943442,0.8682556569195861,0.00795160372524184,False,l1,0.4334219476880493
169,0.8603040481492059,0.8683303316186015,0.008026283469395601,False,l1,0.6149665620084701
43,0.8603037073746129,0.868256347586508,0.007952640211895123,False,l1,0.4336888696553253
132,0.8603036978449072,0.8683329000692707,0.00802920222436343,False,l1,0.629305157397651
32,0.8603036961631945,0.8683247409527258,0.008021044789531362,False,l1,0.5933974435079825
38,0.8603033514646052,0.8683247193478045,0.008021367883199293,False,l1,0.5931939652855781
151,0.8603030028420194,0.8683227981007174,0.008019795258698004,False,l1,0.5880424308830042
101,0.8603023128842701,0.868318502777323,0.008016189893052972,False,l1,0.5752167182211324
182,0.8603019732308193,0.8682013492347993,0.007899376003980052,False,l1,0.3792262976007839
142,0.8603019721096775,0.8682046515447507,0.007902679435073168,False,l1,0.38100740512939063
176,0.860301629092801,0.8683351871751924,0.008033558082391479,False,l1,0.646807720379181
180,0.86029921844496,0.8682523542949486,0.00795313584998858,False,l1,0.43054948607472315
154,0.8602985150335083,0.8683193661350144,0.008020851101506077,False,l1,0.577696205181086
190,0.8602981759406283,0.8683083792038486,0.008010203263220328,False,l1,0.5525638441910721
184,0.8602981720166317,0.8683353599708568,0.008037187954225034,False,l1,0.6408498906187517
51,0.8602978261969009,0.8682459001839693,0.007948073987068427,False,l1,0.42132998442438985
