feature_set_name,dataset_scope,ladder_step,model_name,fold,train_row_count,valid_row_count,auc_train,auc_valid,ap_train,ap_valid,brier_train,brier_valid,logloss_train,logloss_valid,train_valid_auc_gap
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,4,9523,2381,0.8781648845330875,0.8007689559962156,0.941057215687878,0.8886407312784939,0.13611764271686458,0.16456810168306754,0.41812864287905593,0.4973261091134745,0.07739592853687194
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,5,9524,2380,0.8778259682865848,0.7962986964372397,0.9415023915882892,0.8865606564569581,0.1362250778629617,0.1665817282005651,0.41800876864092745,0.5009350179826262,0.08152727184934505
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,1,9523,2381,0.8471502902002666,0.8005664815913582,0.9227919197508847,0.8898846493267616,0.14885038179742544,0.16544995320592792,0.45364362138960584,0.49713180202468116,0.04658380860890832
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,2,9522,2382,0.8493597678680458,0.7869578946353504,0.9243452747287955,0.8712100670996028,0.14764081444086732,0.16917418174368443,0.44924800595500014,0.5125348981269506,0.062401873232695415
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,3,9524,2380,0.8460467306913194,0.7972429804598414,0.9221533528100678,0.8884046851037641,0.14876057671480863,0.16569410475195162,0.45310084422385694,0.49841738963107285,0.04880375023147798
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,4,9523,2381,0.8460899489556402,0.8034576470815393,0.9220292581357142,0.8913506741533487,0.1491438799590992,0.1636247874757605,0.45397597635731024,0.4939206338961668,0.04263230187410083
conservative_safe_22,promotion_only,L1_conservative_safe_22,RandomForest,5,9524,2380,0.8469859136380955,0.7928399442606772,0.9230232093909743,0.8825890470286557,0.14874480265779086,0.16759039826910757,0.4525794682351737,0.5046307086271683,0.054145969377418335
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,1,8941,2234,0.5,0.5,0.7624426797897327,0.7623097582811101,0.1811238398247838,0.18119360837863302,0.5482479069115139,0.5484029091270125,0.0
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,2,8939,2236,0.5,0.5,0.7623895290300928,0.7625223613595706,0.18115173505536608,0.18108202743062277,0.548309879191579,0.5481550199461439,0.0
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,3,8941,2234,0.5,0.5,0.7624426797897327,0.7623097582811101,0.18112383982478383,0.18119360837863302,0.5482479069115139,0.5484029091270125,0.0
conservative_safe_22,nonpromotion_only,L0_dummy_prior,DummyPrior,4,8939,2236,0.5,0.5,0.7623895290300928,0.7625223613595706,0.18115173505536605,0.18108202743062274,0.548309879191579,0.5481550199461439,0.0
