trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_C,param_class_weight
24,0.8339792228686038,0.8370583599235673,0.8432166340334941,0.0061582741099268645,False,0.01458638453569598,balanced
25,0.8351298613083602,0.8385814678015031,0.8454846807877889,0.006903212986285823,False,0.13355533111245968,balanced
26,0.8352183738249583,0.8385274667070594,0.8451456524712615,0.006618185764202145,False,0.05155213188571818,balanced
27,0.8352075539513131,0.8384761286901581,0.845013278167848,0.0065371494776899075,False,0.04332674195580653,balanced
28,0.820260426027098,0.8224760261669901,0.8269072264467743,0.004431200279784164,False,0.001128655137749287,balanced
29,0.8347043382696762,0.8379646546137819,0.8444852873019932,0.0065206326882113474,False,0.03785933016625057,
30,0.8326537115622705,0.8355635182953435,0.8413831317614895,0.005819613466146012,False,0.008311965017527623,balanced
31,0.8352236142609168,0.8384920776929926,0.8450290045571442,0.006536926864151638,False,0.044127190132130706,balanced
32,0.8347611483260317,0.8379146768026953,0.8442217337560225,0.006307056953327228,False,0.02339512940463933,balanced
33,0.8350366965070211,0.8385415200637549,0.8455511671772227,0.007009647113467743,False,0.26716186824717125,balanced
34,0.8347150132063412,0.8379701844396523,0.8444805269062744,0.006510342466622077,False,0.037756723742167125,
35,0.8351395266200485,0.8385915038018737,0.8454954581655241,0.006903954363650322,False,0.15331645045935768,balanced
36,0.828121538354671,0.8307618543742346,0.8360424864133617,0.005280632039127098,False,0.0036841471364945804,
37,0.8342850213621218,0.8374003301278382,0.8436309476592712,0.006230617531432947,False,0.01734616467197724,balanced
38,0.8352109996013095,0.8385023683273255,0.8450851057793576,0.006582737452032084,False,0.047066536101699016,balanced
39,0.834854136223072,0.8384253906693209,0.8455678995618185,0.007142508892497679,False,1.1349835828662878,balanced
40,0.8344906258925907,0.838033325060555,0.8451187233964834,0.007085398335928472,False,0.3435229142061022,
41,0.8352075209547933,0.8385332445463582,0.845184691729488,0.006651447183129711,False,0.05512781037384061,balanced
42,0.8332036636645086,0.8361307216162182,0.8419848375196374,0.005854115903419221,False,0.009771603168184838,balanced
43,0.8352122873301059,0.8385282057770406,0.8451600426709099,0.0066318368938693695,False,0.05263343010290125,balanced
44,0.835150806591232,0.8385743636345009,0.8454214777210387,0.00684711408653782,False,0.09623653227224056,balanced
45,0.8350748484999893,0.8385587589936963,0.8455265799811104,0.006967820987414108,False,0.20948924848773415,balanced
46,0.8349539454924008,0.8381559707697942,0.8445600213245811,0.006404050554786878,False,0.02895922635332904,balanced
47,0.8351499255184214,0.8385862660289835,0.8454589470501075,0.0068726810211240386,False,0.11315406542008548,balanced
48,0.8348784489098215,0.838188039640344,0.8448072211013891,0.0066191814610450095,False,0.05556886643937201,
49,0.8347603933156278,0.8383645398646655,0.8455728329627409,0.007208293098075358,False,5.097670010864772,balanced
50,0.8304244896552168,0.8331575777866413,0.8386237540494905,0.005466176262849176,False,0.004664230772801221,balanced
51,0.8352037142151961,0.8385205423919821,0.8451541987455542,0.006633656353572048,False,0.05201296427602938,balanced
52,0.8352023568742296,0.8384694643226176,0.8450036792193936,0.0065342148967759695,False,0.04286362194319382,balanced
53,0.8344663302055964,0.8375980159269121,0.8438613873695436,0.00626337144263156,False,0.019302695319477155,balanced
54,0.8349684366407721,0.838186007383926,0.8446211488702338,0.006435141486307749,False,0.030311659192892894,balanced
55,0.8351892283884046,0.8385863095487256,0.8453804718693675,0.006794162320641894,False,0.08389904831191741,balanced
56,0.833967628590976,0.8370464251841424,0.8432040183704753,0.00615759318633291,False,0.014515333796897253,balanced
57,0.835206516887715,0.838555700309055,0.8452540671517351,0.0066983668426801035,False,0.062190570808153885,balanced
58,0.8351476845565993,0.8385845050306286,0.8454581459786873,0.006873640948058646,False,0.11284615330422822,balanced
59,0.8335490991561405,0.8365344271874108,0.8425050832499512,0.005970656062540436,False,0.011380689187815037,balanced
