trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
170,0.8350275650715762,0.839898813581215,0.004871248509638826,False,l1,0.053868883776222114
86,0.8349956407394311,0.8398671885256388,0.004871547786207686,False,l1,0.05315748922539294
90,0.8349770685304796,0.8414268622571088,0.006449793726629238,False,l1,0.3029095160624354
67,0.8349516583711001,0.8398245497678982,0.00487289139679814,False,l1,0.051939330484061054
79,0.8349393436164931,0.839812507708681,0.004873164092187854,False,l1,0.05161317810975392
127,0.8349375900859333,0.8414353776133167,0.006497787527383392,False,l1,0.32114795693747666
137,0.8349248858311208,0.8398028223718669,0.004877936540746086,False,l1,0.05141742448936912
64,0.8349190943192145,0.8414516372678124,0.0065325429485978415,False,l1,0.33591538038238816
21,0.8349185812269088,0.841458046592007,0.006539465365098196,False,l1,0.3457116001401121
122,0.834918358981707,0.8397954379320272,0.0048770789503201906,False,l1,0.05122646056824018
19,0.8348374801511621,0.8414851935435207,0.00664771339235859,False,l1,0.38975870919613254
189,0.8348060072759139,0.839635647686708,0.004829640410794034,False,l1,0.0478453355855015
59,0.8348054991396751,0.8396430710684978,0.004837571928822726,False,l1,0.04799886712481635
69,0.8347904548095396,0.8414948080837148,0.006704353274175179,False,l1,0.4239527337625763
96,0.8347842916467041,0.8414959862699695,0.006711694623265374,False,l1,0.4291587222429104
157,0.8347750806968802,0.8396059395256332,0.004830858828753004,False,l1,0.04728766072797752
130,0.8346702647873958,0.8394830862521706,0.004812821464774797,False,l1,0.04485514303897715
99,0.8346634808052636,0.8394673208870144,0.004803840081750721,False,l1,0.04464204736567051
22,0.8346517459206272,0.8415182153318183,0.006866469411191067,False,l1,0.5347531454513398
60,0.8346438180587594,0.8415199277635581,0.006876109704798683,False,l1,0.5410338831358805
51,0.8346115786922258,0.8393908341191688,0.004779255426943019,False,l1,0.043429677345157784
44,0.8345721049462146,0.8393188126150125,0.004746707668797923,False,l1,0.042360129638965204
13,0.8345233794176389,0.8414840427102813,0.006960663292642444,False,l2,0.06362725105351219
76,0.8345219989262762,0.8414788901530578,0.006956891226781559,False,l2,0.06270856652359674
40,0.8345205558736234,0.8415325656017056,0.007012009728082247,False,l1,0.6997199820169842
89,0.8345193513389351,0.8414637931840406,0.0069444418451055645,False,l2,0.06057845596712551
10,0.8345093024885406,0.8414969251857343,0.006987622697193663,False,l2,0.06586252373799877
7,0.8345075387671171,0.8415051727418058,0.006997633974688666,False,l2,0.06789053271698488
12,0.8345070349633638,0.8415073876937542,0.007000352730390458,False,l2,0.06844771858748326
11,0.8344998705477973,0.8414133647879651,0.00691349424016785,False,l2,0.05423185466354646
107,0.8344853822314382,0.8392365858495661,0.004751203618127864,False,l1,0.04133344156986699
58,0.8344719278035043,0.8415615708447015,0.007089643041197191,False,l2,0.09209457851096298
179,0.8344627214228169,0.8415968687901175,0.0071341473673006695,False,l2,0.12230210278090231
108,0.8344584500374458,0.8415958630996341,0.007137413062188291,False,l2,0.12422380626369092
34,0.8344426005438326,0.8415420079325239,0.007099407388691303,False,l1,0.8028733132251084
145,0.8344339639651652,0.8391774849111926,0.004743520946027369,False,l1,0.040466540205586446
14,0.8344263809878258,0.8415998702610447,0.007173489273218814,False,l2,0.14774819667827327
66,0.8344206096352325,0.8411499507153317,0.00672934108009926,False,l2,0.03537093825479567
128,0.8343964600378275,0.8416010951197958,0.007204635081968225,False,l2,0.15712733146986768
150,0.8343674193258359,0.8415997433542186,0.007232324028382697,False,l2,0.1853059705293597
6,0.8343374706386297,0.8415394622154493,0.007201991576819555,False,l1,1.1462107403425035
178,0.8343259880341005,0.8390484034598759,0.004722415425775339,False,l1,0.03887356804500391
93,0.8342777230719038,0.8389822576427368,0.0047045345708329744,False,l1,0.0381124663900245
