trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_C,param_class_weight
43,0.861127165534501,0.8651257232074043,0.8731228385532109,0.007997115345806605,False,0.2600084225029115,balanced
44,0.8611492411721005,0.8651479596681562,0.8731453966602677,0.007997436992111528,False,0.5067305314597966,balanced
45,0.861152540931533,0.8651498544231299,0.8731444814063236,0.007994626983193753,False,0.5083156742540444,balanced
46,0.8610914097307206,0.8651129945930395,0.8731561643176772,0.0080431697246377,False,1.486114270024502,balanced
47,0.8611245432782225,0.8651348681290287,0.8731555178306412,0.008020649701612426,False,0.6023830112912971,balanced
48,0.8601411638030878,0.8642615365055809,0.872502281910567,0.008240745404986094,False,1.3039348278500185,
49,0.8611037971968654,0.8651188518655577,0.8731489612029424,0.008030109337384683,False,5.097670010864772,balanced
50,0.8611446912067504,0.8651448581504907,0.8731451920379711,0.008000333887480449,False,0.5132446379871083,balanced
51,0.8611479293743671,0.8651408830138656,0.8731267902928626,0.007985907278996951,False,0.28063439283157166,balanced
52,0.8611445068890686,0.8651429550669238,0.8731398514226342,0.007996896355710326,False,0.4112556998500154,balanced
53,0.8611181730796886,0.8650681496610357,0.8729681028237298,0.007899953162694096,False,0.11140313160828297,balanced
54,0.8611371882454393,0.8651405523939502,0.8731472806909718,0.008006728297021648,False,0.7801871667365604,balanced
55,0.861018015611429,0.8648906940904529,0.8726360510485008,0.0077453569580479,False,0.06055823050603951,balanced
56,0.8611425411617748,0.865121233086094,0.8730786169347325,0.007957383848638533,False,0.17666159184752342,balanced
57,0.8611442370479404,0.8651374380048225,0.8731238399185866,0.007986401913764096,False,0.26590042320164076,balanced
58,0.8611359737026657,0.8651415876633342,0.8731528155846711,0.008011227921336905,False,1.158876876483885,balanced
59,0.8549388770536088,0.8577908016365686,0.8634946508024883,0.0057038491659197055,False,0.002939878706759997,balanced
60,0.86107481808738,0.8651004190481238,0.8731516209696117,0.008051201921487894,False,3.340989125955973,balanced
61,0.8611118737595376,0.8651188271321593,0.8731327338774026,0.008013906745243382,False,0.3086067993044228,balanced
62,0.8611333040011107,0.8651029654524273,0.8730422883550606,0.007939322902633328,False,0.14475090772433535,balanced
63,0.8611088445409348,0.8650419607780042,0.872908193252143,0.007866232474138757,False,0.0951843637719333,balanced
64,0.8611156238947872,0.8651122826245038,0.873105600083937,0.007993317459433213,False,0.21259799854635836,balanced
65,0.8611223465426134,0.8651326283683876,0.8731531920199359,0.008020563651548351,False,0.570854126065002,balanced
66,0.8611493981966352,0.8651467471006875,0.8731414449087922,0.00799469780810469,False,0.3762955233501054,balanced
67,0.8602344597664697,0.8643233819893539,0.8725012264351222,0.0081778444457683,False,0.8161932735965142,
68,0.8610840243408444,0.8651085160812834,0.8731574995621614,0.008048983480878014,False,1.7759798759914023,balanced
69,0.8611421473685565,0.8651419240880269,0.8731414775269677,0.007999553438940765,False,0.4437101893957344,balanced
70,0.8611238652186137,0.8651277869318694,0.8731356303583807,0.008007843426511285,False,0.33374735007075673,balanced
71,0.8611577821894099,0.8651284650812684,0.8730698308649856,0.00794136578371718,False,0.16807099029234002,balanced
72,0.8611610612288736,0.8651301880905532,0.8730684418139123,0.007938253723359101,False,0.1676701229330817,balanced
73,0.861138516424193,0.8650933151366189,0.8730029125614707,0.007909597424851755,False,0.12573988298499755,balanced
74,0.8610673439612375,0.864982695517671,0.872813398630538,0.007830703112866932,False,0.07999933501036778,balanced
75,0.8611243234320074,0.8651191733997349,0.8731088733351899,0.007989699935455064,False,0.22355780205394535,balanced
76,0.8611559088114082,0.865122435558298,0.8730554890520775,0.007933053493779485,False,0.15388429173318213,balanced
77,0.8609374744830003,0.8648035171901849,0.8725356026045542,0.007732085414369316,False,0.054424353682818796,balanced
78,0.8603012809552617,0.8642738777141672,0.8722190712319783,0.007945193517811089,False,0.1095803781403766,
79,0.8611394745859091,0.8651084789811858,0.8730464877717393,0.007938008790553508,False,0.14688663974110178,balanced
